length,num_words,num_urls,has_ip_url,num_exclamations,num_dollars,num_percents,special_char_ratio,upper_ratio,digit_ratio,unique_word_ratio,suspicious_words,label
6508,1910,0,0,7,10,3,0.17683207866031647,0.0,0.025349516054693502,0.17896389324960754,2,1
2284,437,0,0,0,1,0,0.05908096280087528,0.0,0.02975929978118162,0.4360730593607306,0,0
1404,204,2,0,1,0,0,0.15729537366548044,0.0,0.034875444839857654,0.6097560975609756,0,0
1832,478,0,0,0,0,0,0.0845608292416803,0.0,0.057283142389525366,0.3653444676409186,0,0
532,108,0,0,1,1,0,0.04127579737335835,0.0,0.0075046904315197,0.6880733944954128,2,1
277,52,0,0,0,0,0,0.03237410071942446,0.0,0.0,0.660377358490566,0,0
710,147,0,0,0,1,0,0.046413502109704644,0.0,0.005625879043600563,0.7027027027027027,0,1
121,35,0,0,0,7,0,0.07377049180327869,0.0,0.11475409836065574,0.6388888888888888,0,0
1477,268,0,0,0,0,0,0.033152909336941816,0.0,0.04330175913396482,0.5278810408921933,0,0
4675,1036,0,0,0,0,0,0.06993156544054747,0.0,0.014114627887082978,0.26229508196721313,0,0
1762,393,0,0,0,0,0,0.058423142370958595,0.0,0.017016449234259785,0.44923857868020306,0,0
877,144,0,0,0,0,0,0.05125284738041002,0.0,0.0,0.7172413793103448,0,0
768,175,0,0,8,0,2,0.05981794538361508,0.0,0.022106631989596878,0.625,2,1
913,282,0,0,0,0,0,0.1673960612691466,0.0,0.0962800875273523,0.26501766784452296,1,0
397,48,1,0,0,0,0,0.21105527638190955,0.0,0.0,0.8775510204081632,0,0
229,29,1,0,0,0,0,0.1391304347826087,0.0,0.11304347826086956,0.9666666666666667,0,0
63,19,0,0,0,0,0,0.0625,0.0,0.109375,0.85,0,1
1689,474,0,0,0,0,0,0.10414201183431952,0.0,0.2591715976331361,0.3473684210526316,0,0
2753,440,3,0,0,0,0,0.05591866376180102,0.0,0.0196078431372549,0.6190476190476191,3,0
2098,475,0,0,0,0,0,0.081467365412101,0.0,0.04383039542639352,0.34663865546218486,0,0
258,55,0,0,0,0,0,0.0694980694980695,0.0,0.03474903474903475,0.7142857142857143,1,0
310,66,0,0,0,0,0,0.01607717041800643,0.0,0.10932475884244373,0.7164179104477612,0,0
283,63,0,0,0,0,0,0.09154929577464789,0.0,0.09154929577464789,0.53125,0,0
3215,479,5,0,12,0,1,0.13743781094527363,0.0,0.009639303482587064,0.5854166666666667,1,1
614,130,0,0,0,0,0,0.04227642276422764,0.0,0.04390243902439024,0.6259541984732825,0,1
2010,407,0,0,0,1,0,0.06514172053704624,0.0,0.039781203381402286,0.47549019607843135,1,0
204,25,1,0,0,0,0,0.07804878048780488,0.0,0.05853658536585366,0.9230769230769231,1,0
1198,215,0,0,1,0,0,0.03836530442035029,0.0,0.01834862385321101,0.4861111111111111,0,0
332,64,0,0,0,0,0,0.024024024024024024,0.0,0.07207207207207207,0.8615384615384616,1,1
3488,734,0,0,0,0,0,0.07738607050730868,0.0,0.0117512181140728,0.3197278911564626,2,0
724,204,0,0,2,0,0,0.16,0.0,0.0,0.36097560975609755,0,1
2865,406,0,0,0,0,0,0.015003489183531053,0.0,0.0,0.8722358722358723,1,1
