length,num_words,num_urls,suspicious_words,special_char_ratio,label
2688,509,0,1,0.02863518036444775,0
244,52,0,0,0.044897959183673466,0
3728,709,0,2,0.019844462322338427,0
819,198,0,0,0.05609756097560976,0
227,32,1,0,0.07894736842105263,0
82,6,0,0,0.0963855421686747,1
25,5,0,0,0.038461538461538464,0
12117,2071,0,0,0.031028222478956924,0
389,57,0,0,0.028205128205128206,1
1014,202,0,0,0.03940886699507389,1
236,58,0,0,0.06329113924050633,1
2054,290,2,1,0.08661800486618004,1
3566,603,2,3,0.06335856462012895,0
5930,858,0,0,0.07300623840836284,0
954,244,0,0,0.13089005235602094,1
1711,273,1,1,0.029789719626168224,1
3500,500,0,0,0.2136532419308769,1
7736,1597,0,4,0.035155745120847876,1
1999,357,0,2,0.021,1
212,67,0,0,0.15023474178403756,1
2031,419,0,3,0.025590551181102362,1
5,1,0,0,0.0,1
331,61,0,0,0.04216867469879518,0
279,55,0,0,0.02857142857142857,0
471,85,0,0,0.014830508474576272,0
3492,495,0,2,0.08731749212711136,1
1330,191,2,0,0.10894064613072878,0
5091,851,0,0,0.0769835035349568,0
1275,249,0,0,0.03761755485893417,0
1416,328,0,0,0.05857445306986592,0
284,60,0,0,0.03508771929824561,0
392,75,0,0,0.035623409669211195,1
5,1,0,0,0.0,0
1153,154,3,0,0.0684575389948007,0
4788,556,15,5,0.16015869701399038,1
612,93,1,0,0.08809135399673736,0
428,94,0,0,0.027972027972027972,1
527,111,0,0,0.05113636363636364,0
183,19,1,0,0.14673913043478262,0
1227,175,0,0,0.05781758957654723,1
274,69,0,0,0.08727272727272728,0
423,85,0,0,0.06132075471698113,0
382,74,0,0,0.04177545691906005,1
677,157,0,0,0.05604719764011799,1
518,125,0,0,0.06936416184971098,0
1671,242,7,1,0.2230861244019139,0
2445,518,0,0,0.04251839738348324,0
681,114,0,0,0.05571847507331378,1
399,131,0,0,0.195,0
9525,1537,0,4,0.13751837077472182,1
324,66,0,0,0.021538461538461538,1
342,29,4,0,0.18075801749271136,0
443,80,0,0,0.02027027027027027,1
4576,598,0,1,0.22547520209744373,1
588,82,2,0,0.1731748726655348,0
730,172,0,0,0.04377564979480164,0
336,72,0,0,0.032640949554896145,1
1846,377,0,7,0.041689225771521385,0
